step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
334,0.0802,0.98294,,
335,0.0204,0.99208,,
336,0.0112,0.99556,,
337,0.07074,0.98433,,
338,0.03542,0.98945,,
339,0.03098,0.98611,,
340,0.00451,1.0,,
341,0.03524,0.98261,0.01447,0.75145
342,0.06046,0.9774,,
343,0.02206,0.99452,,
344,0.06208,0.9835,,
345,0.03393,0.99408,,
346,0.07337,0.97535,,
347,0.09594,0.97684,,
348,0.08387,0.9799,,
349,0.04555,0.98803,,
350,0.04158,0.99035,,
351,0.06464,0.9797,0.01817,0.67308
352,0.00851,1.0,,
353,0.07185,0.97778,,
354,0.01254,1.0,,
355,0.05236,0.98431,,
356,0.00981,0.99291,,
357,0.04587,0.98732,,
358,0.01468,0.99457,,
359,0.21892,0.95098,,
360,0.07034,0.97187,,
361,0.03109,0.98473,0.01075,0.67308
362,0.00587,1.0,,
363,0.13209,0.96186,,
364,0.00073,1.0,,
365,0.05578,0.98222,,
366,0.01742,0.99327,,
367,0.03478,0.98824,,
368,0.03834,0.98925,,
369,0.02147,0.99184,,
370,0.03883,0.98827,,
371,0.07675,0.96899,0.06108,0.68047
372,0.1045,0.97306,,
373,0.03051,0.99355,,
374,0.02632,0.98723,,
375,0.0323,0.98795,,
376,0.06003,0.98601,,
377,0.04343,0.99301,,
378,0.04413,0.98649,,
379,0.07276,0.97154,,
380,0.03004,0.98512,,
381,0.24456,0.95376,0.00238,0.72973
382,0.01563,0.99468,,
383,0.01706,0.99203,,
384,0.10496,0.96835,,
385,0.01745,0.99502,,
386,0.00241,1.0,,
387,0.01444,0.99541,,
388,0.23947,0.95431,,
389,0.01246,0.99708,,
390,0.0501,0.98544,,
391,0.0162,0.99495,0.03472,0.77622
392,0.0187,0.98969,,
393,0.01849,0.99118,,
394,0.01668,0.99306,,
395,0.04871,0.98816,,
396,0.04621,0.99016,,
397,0.01066,1.0,,
398,0.03321,0.99425,,
399,0.0408,0.99087,,
400,0.12308,0.97403,,
401,0.08518,0.97398,0.00045,0.78733
402,0.17123,0.96389,,
403,0.01846,0.99095,,
404,0.03085,0.99603,,
405,0.01201,0.99479,,
406,0.05548,0.98876,,
407,0.02305,0.99634,,
408,0.08964,0.98507,,
409,0.18275,0.97222,,
410,0.036,0.98513,,
411,0.02925,0.98706,0.00477,0.72917
412,0.00435,1.0,,
413,0.03815,0.99361,,
414,0.05887,0.98034,,
415,0.02927,0.9907,,
416,0.01643,0.99422,,
417,0.01021,0.99425,,
418,0.05177,0.98099,,
419,0.03737,0.98887,,
420,0.09443,0.97005,,
421,0.24122,0.93043,0.00282,0.76
422,0.04734,0.9871,,
423,0.14069,0.96533,,
424,0.05629,0.98639,,
425,0.11236,0.97837,,
426,0.04551,0.9856,,
427,0.0501,0.98976,,
428,0.0912,0.97203,,
429,0.02853,0.98864,,
430,0.10655,0.97034,,
431,0.03833,0.99038,0.03708,0.70776
432,0.04336,0.98214,,
433,0.02854,0.99094,,
434,0.01546,0.9907,,
435,0.00505,1.0,,
436,0.01741,0.99687,,
437,0.00275,1.0,,
438,0.01827,0.99427,,
439,0.03324,0.98452,,
440,0.03311,0.98824,,
441,0.0517,0.9794,0.0766,0.74627
442,0.05727,0.98311,,
443,0.05331,0.97853,,
444,0.03114,0.99359,,
445,0.01261,0.99556,,
446,0.01842,0.9963,,
447,0.07738,0.9784,,
448,0.01722,0.99736,,
449,0.00935,0.99729,,
450,0.03863,0.98773,,
451,0.10771,0.97151,0.13319,0.75472
452,0.08093,0.98507,,
453,0.13279,0.97642,,
454,0.00216,1.0,,
455,0.0529,0.98797,,
456,0.09979,0.95823,,
457,0.02923,0.99096,,
458,0.017,0.99091,,
459,0.06904,0.97727,,
