step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.67737,0.88806,0.59028,0.66881
2,0.62231,0.86813,,
3,0.91634,0.84685,,
4,1.11059,0.77309,,
5,0.94891,0.80655,,
6,0.67901,0.86895,,
7,0.96575,0.80864,,
8,1.0766,0.80928,,
9,1.06877,0.80142,,
10,0.40499,0.90476,,
11,1.11715,0.78322,0.80347,0.63006
12,0.9534,0.78914,,
13,1.00962,0.77711,,
14,1.08004,0.75235,,
15,0.834,0.82587,,
16,0.81405,0.83258,,
17,0.96548,0.77309,,
18,0.68011,0.85957,,
19,0.88808,0.80932,,
20,0.58101,0.84502,,
21,0.56811,0.81766,0.70787,0.53846
22,0.56832,0.83065,,
23,0.76262,0.8123,,
24,0.55794,0.87234,,
25,0.68268,0.83333,,
26,0.81244,0.78933,,
27,0.42791,0.88235,,
28,0.49868,0.86376,,
29,0.53822,0.85882,,
30,0.30429,0.91246,,
31,0.59354,0.8361,0.60919,0.5641
32,0.462,0.8918,,
33,0.61542,0.83688,,
34,0.56405,0.85205,,
35,0.28555,0.91337,,
36,0.52575,0.86047,,
37,0.4943,0.85507,,
38,0.74174,0.79868,,
39,0.33837,0.91377,,
40,0.4213,0.89641,,
41,0.62545,0.82741,0.59413,0.55621
42,0.47428,0.87387,,
43,0.37802,0.89593,,
44,0.39357,0.89313,,
45,0.31731,0.91304,,
46,0.45527,0.88344,,
47,0.50272,0.85772,,
48,0.42525,0.8964,,
49,0.55556,0.86068,,
50,0.23953,0.91718,,
51,0.51081,0.8284,0.35467,0.66216
52,0.29264,0.92803,,
53,0.31157,0.89711,,
54,0.32702,0.9031,,
55,0.46153,0.87267,,
56,0.27054,0.93162,,
57,0.1511,0.94516,,
58,0.33051,0.89103,,
59,0.31276,0.91457,,
60,0.40942,0.89444,,
61,0.3427,0.89474,0.38623,0.67832
62,0.3482,0.87931,,
63,0.34362,0.90179,,
64,0.39193,0.90491,,
65,0.21883,0.9359,,
66,0.59631,0.86301,,
67,0.17646,0.94839,,
68,0.21522,0.93116,,
69,0.27036,0.92396,,
70,0.47629,0.87599,,
71,0.14044,0.96033,0.14901,0.76018
72,0.27388,0.92251,,
73,0.37041,0.88764,,
74,0.13417,0.94872,,
75,0.35113,0.9085,,
76,0.3718,0.90625,,
77,0.16972,0.95556,,
78,0.62023,0.85169,,
79,0.19813,0.92308,,
80,0.477,0.90094,,
81,0.24312,0.9288,0.30464,0.69792
82,0.21147,0.94515,,
83,0.21749,0.96104,,
84,0.26193,0.93125,,
85,0.18495,0.92941,,
86,0.26776,0.9368,,
87,0.22613,0.95652,,
88,0.11881,0.96512,,
89,0.25991,0.91646,,
90,0.11641,0.96078,,
91,0.1849,0.94613,0.2592,0.70222
92,0.16848,0.94512,,
93,0.14319,0.95546,,
94,0.49789,0.90444,,
95,0.14532,0.96013,,
96,0.21659,0.96198,,
97,0.15154,0.95376,,
98,0.15596,0.94551,,
99,0.1415,0.95601,,
100,0.08181,0.98643,,
101,0.2103,0.95045,0.27898,0.70787
102,0.04189,0.98611,,
103,0.49641,0.89552,,
104,0.6476,0.87817,,
105,0.21589,0.95858,,
106,0.11294,0.975,,
107,0.21381,0.95111,,
108,0.2789,0.92661,,
109,0.22614,0.95918,,
110,0.14047,0.96466,,
111,0.11998,0.95911,0.40455,0.68382
112,0.09711,0.96667,,
113,0.25644,0.94737,,
114,0.12191,0.95975,,
115,0.31021,0.93204,,
116,0.24143,0.92683,,
117,0.03708,0.99111,,
118,0.03022,0.99541,,
119,0.19815,0.95833,,
120,0.13568,0.9798,,
121,0.12352,0.97551,0.50993,0.68273
122,0.34889,0.90865,,
123,0.1899,0.94309,,
124,0.25986,0.9196,,
125,0.18403,0.96364,,
126,0.40235,0.90123,,
127,0.13044,0.95332,,
128,0.08822,0.9837,,
129,0.13638,0.97902,,
130,0.18156,0.95833,,
131,0.34099,0.92237,0.57051,0.67068
132,0.20258,0.95322,,
133,0.18367,0.96042,,
134,0.18662,0.94805,,
135,0.14459,0.96842,,
136,0.28697,0.91558,,
137,0.14716,0.96979,,
138,0.08651,0.97333,,
139,0.27453,0.92722,,
140,0.08735,0.96787,,
141,0.29322,0.95522,0.35347,0.6878
142,0.2909,0.94406,,
143,0.11508,0.95989,,
144,0.16006,0.9556,,
145,0.2738,0.94406,,
146,0.10531,0.9507,,
147,0.10221,0.96176,,
148,0.31768,0.904,,
149,0.25618,0.92781,,
150,0.06559,0.97619,,
151,0.28257,0.95222,0.39678,0.64032
152,0.39489,0.91908,,
153,0.16462,0.94295,,
154,0.12327,0.96958,,
155,0.14434,0.97078,,
156,0.09054,0.98008,,
157,0.17961,0.97361,,
158,0.04966,0.98667,,
159,0.1556,0.96605,,
160,0.12533,0.95946,,
161,0.10504,0.96667,0.50571,0.6755
162,0.26959,0.94753,,
163,0.02051,1.0,,
164,0.15129,0.95804,,
165,0.19894,0.96269,,
166,0.07716,0.97941,,
167,0.19732,0.95107,,
168,0.09203,0.97026,,
169,0.11549,0.97902,,
170,0.05873,0.98082,,
171,0.08245,0.98611,0.61623,0.64828
172,0.22549,0.94278,,
173,0.05619,0.98421,,
174,0.13958,0.97152,,
175,0.26392,0.94492,,
176,0.07877,0.98382,,
177,0.18015,0.96804,,
178,0.05132,0.97786,,
179,0.02295,0.99291,,
180,0.13879,0.94845,,
181,0.08453,0.97237,0.38782,0.71854
182,0.16441,0.95056,,
183,0.07171,0.9878,,
184,0.03335,0.98473,,
185,0.18937,0.96186,,
186,0.06128,0.9697,,
187,0.09185,0.97264,,
188,0.10158,0.97523,,
189,0.07717,0.97889,,
190,0.10005,0.97049,,
191,0.15242,0.96847,0.34372,0.71667
192,0.07977,0.96667,,
193,0.05502,0.97917,,
194,0.13268,0.95604,,
195,0.17696,0.97611,,
196,0.06862,0.97321,,
197,0.2654,0.9422,,
198,0.11319,0.96753,,
199,0.11633,0.97353,,
200,0.0707,0.97872,,
201,0.0188,0.99291,0.12655,0.70633
202,0.05443,0.99301,,
203,0.18019,0.94872,,
204,0.0892,0.97886,,
205,0.05355,0.98718,,
206,0.08708,0.97173,,
207,0.09811,0.9694,,
208,0.06667,0.97557,,
209,0.06826,0.98489,,
210,0.16366,0.96012,,
211,0.03911,0.98492,0.2618,0.67208
212,0.14381,0.95543,,
213,0.18894,0.95787,,
214,0.25447,0.93889,,
215,0.10555,0.96807,,
216,0.05001,0.98077,,
217,0.17379,0.95298,,
218,0.10042,0.98153,,
219,0.0314,0.99083,,
220,0.05138,0.98125,,
221,0.12769,0.96532,0.11277,0.81204
222,0.06381,0.98718,,
223,0.03857,0.98148,,
224,0.14982,0.97633,,
225,0.03785,0.9899,,
226,0.01304,1.0,,
227,0.08693,0.97561,,
228,0.08045,0.98298,,
229,0.04852,0.99653,,
230,0.0531,0.98239,,
231,0.07218,0.97564,0.09062,0.74174
232,0.0846,0.98261,,
233,0.11601,0.97285,,
234,0.14147,0.96624,,
235,0.01032,0.99359,,
236,0.06747,0.97674,,
237,0.05208,0.98776,,
238,0.19244,0.94276,,
239,0.08344,0.98058,,
240,0.01446,0.99537,,
241,0.32216,0.91304,0.07523,0.81051
242,0.06165,0.97833,,
243,0.04551,0.98851,,
244,0.2161,0.928,,
245,0.11205,0.96088,,
246,0.08978,0.98155,,
247,0.09028,0.96806,,
248,0.04218,0.99123,,
249,0.04965,0.98567,,
250,0.02886,0.99413,,
251,0.18566,0.9397,0.23031,0.65466
252,0.14759,0.95645,,
253,0.05088,0.99111,,
254,0.04986,0.99091,,
255,0.00394,1.0,,
256,0.20052,0.94952,,
257,0.08837,0.97306,,
258,0.25661,0.92877,,
259,0.09025,0.97546,,
260,0.13124,0.96447,,
261,0.04155,0.99208,0.13536,0.75708
262,0.04303,0.98627,,
263,0.10292,0.98601,,
264,0.01651,0.99699,,
265,0.04056,0.99301,,
266,0.07944,0.98387,,
267,0.05342,0.98344,,
268,0.33013,0.94416,,
269,0.10894,0.96925,,
270,0.02745,0.9883,,
271,0.07136,0.98141,0.07823,0.73899
272,0.01844,0.99353,,
273,0.11028,0.98294,,
274,0.16978,0.96104,,
275,0.13976,0.9668,,
276,0.04496,0.97992,,
277,0.08343,0.97464,,
278,0.17191,0.9717,,
279,0.03566,0.9907,,
280,0.15787,0.9484,,
281,0.11071,0.97191,0.09092,0.759
282,0.07946,0.98403,,
283,0.05011,0.98913,,
284,0.02547,0.98667,,
285,0.11709,0.95396,,
286,0.072,0.97949,,
287,0.07326,0.9835,,
288,0.03235,0.99379,,
289,0.04523,0.99035,,
290,0.02338,0.99495,,
291,0.14013,0.98507,0.13726,0.74687
292,0.05628,0.97959,,
293,0.12783,0.95853,,
294,0.04703,0.98649,,
295,0.09274,0.97154,,
296,0.07386,0.96987,,
297,0.05665,0.98649,,
298,0.06129,0.98077,,
299,0.09978,0.97015,,
300,0.23213,0.93464,,
301,0.07537,0.98214,0.15637,0.71795
302,0.06868,0.98225,,
303,0.08223,0.97255,,
304,0.02333,0.99187,,
305,0.09728,0.98174,,
306,0.0285,0.99005,,
307,0.12657,0.94017,,
308,0.08228,0.96939,,
309,0.07401,0.97608,,
310,0.04774,0.9852,,
311,0.03178,0.98881,0.11375,0.71364
312,0.01513,0.9955,,
313,0.06057,0.97833,,
314,0.10772,0.97403,,
315,0.04173,0.98252,,
316,0.13351,0.95992,,
317,0.01971,0.9878,,
318,0.10366,0.98817,,
319,0.0519,0.99017,,
320,0.00123,1.0,,
321,0.03095,0.99379,0.09075,0.72297
322,0.00761,0.99689,,
323,0.01594,0.99353,,
324,0.12677,0.97718,,
325,0.05915,0.99087,,
326,0.0783,0.98155,,
327,0.06276,0.97527,,
328,0.049,0.98947,,
329,0.03346,0.99359,,
330,0.03686,0.98893,,
331,0.04785,0.9883,0.03733,0.74598
332,0.13121,0.96483,,
333,0.06677,0.98824,,
