step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
157,0.03174,0.98718,,
158,0.0637,0.98316,,
159,0.01948,0.99359,,
160,0.12436,0.95423,,
161,0.04549,0.98431,0.55508,0.6755
162,0.0979,0.9682,,
163,0.06277,0.98667,,
164,0.16037,0.95495,,
165,0.1196,0.96633,,
166,0.12672,0.96957,,
167,0.0957,0.97742,,
168,0.06825,0.98117,,
169,0.3008,0.9346,,
170,0.05281,0.98421,,
171,0.10049,0.9729,0.58448,0.65862
172,0.07383,0.98225,,
173,0.01063,1.0,,
174,0.06908,0.97189,,
175,0.01023,0.99291,,
176,0.24365,0.92405,,
177,0.08511,0.97833,,
178,0.1192,0.97353,,
179,0.11117,0.96875,,
180,0.1848,0.96117,,
181,0.08332,0.95977,0.4699,0.69868
182,0.01087,1.0,,
183,0.01672,0.99603,,
184,0.10766,0.97283,,
185,0.01047,1.0,,
186,0.1892,0.95578,,
187,0.09701,0.96923,,
188,0.00665,1.0,,
189,0.20461,0.94196,,
190,0.24907,0.94671,,
191,0.2195,0.94191,0.46968,0.7
192,0.0489,0.99068,,
193,0.11393,0.97087,,
194,0.18663,0.94715,,
195,0.17166,0.95455,,
