step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.25548,0.75405,0.59669,0.67203
2,0.55998,0.87992,,
3,0.41229,0.90287,,
4,1.11174,0.78451,,
5,0.92643,0.84234,,
6,1.18379,0.74854,,
7,0.82655,0.84351,,
8,1.06164,0.81771,,
9,0.91199,0.8038,,
10,0.90145,0.79932,,
11,0.72331,0.84416,0.72415,0.63006
12,0.97506,0.76316,,
13,0.4913,0.86838,,
14,0.69756,0.81944,,
15,0.49338,0.85023,,
16,0.64376,0.82365,,
17,0.56971,0.8662,,
18,0.80034,0.79021,,
19,0.59854,0.83851,,
20,0.52467,0.86068,,
21,0.35171,0.89065,0.64869,0.55128
22,0.38413,0.89916,,
23,0.39174,0.89355,,
24,0.2918,0.91751,,
25,0.42152,0.90361,,
26,0.61318,0.84951,,
27,0.51426,0.87838,,
28,0.44131,0.87783,,
29,0.3907,0.88943,,
30,0.50118,0.85057,,
31,0.30544,0.91772,0.47226,0.57692
32,0.53727,0.85882,,
33,0.29108,0.90299,,
34,0.44076,0.88444,,
35,0.19629,0.94352,,
36,0.43861,0.90114,,
37,0.20993,0.93725,,
38,0.57246,0.84821,,
39,0.50654,0.86992,,
40,0.47939,0.87574,,
41,0.30696,0.88931,0.49133,0.56805
42,0.31258,0.91765,,
43,0.35341,0.89362,,
44,0.34271,0.90526,,
45,0.40754,0.88828,,
46,0.32589,0.92174,,
47,0.29951,0.91026,,
48,0.55628,0.85185,,
49,0.14943,0.95238,,
50,0.33366,0.90217,,
51,0.27021,0.90854,0.32595,0.67117
52,0.43473,0.90463,,
53,0.62678,0.84818,,
54,0.13921,0.94839,,
55,0.39178,0.91057,,
56,0.15108,0.96759,,
57,0.25845,0.92629,,
58,0.21682,0.94444,,
59,0.59482,0.84326,,
60,0.22669,0.93095,,
61,0.3091,0.90775,0.2786,0.72028
62,0.16125,0.95213,,
63,0.14256,0.95513,,
64,0.21326,0.92226,,
65,0.13876,0.95745,,
66,0.15087,0.95582,,
67,0.1356,0.96032,,
68,0.09546,0.96863,,
69,0.09351,0.97872,,
70,0.07847,0.98718,,
71,0.21118,0.9472,0.0884,0.77376
72,0.12499,0.9596,,
73,0.19869,0.94253,,
74,0.07134,0.9878,,
75,0.18891,0.95882,,
76,0.29152,0.90882,,
77,0.30109,0.91826,,
78,0.13876,0.95266,,
79,0.2073,0.94515,,
80,0.25678,0.91475,,
81,0.03037,0.99468,0.21335,0.70833
82,0.01943,1.0,,
83,0.1764,0.94805,,
84,0.0434,0.98718,,
85,0.12558,0.95975,,
86,0.22635,0.94103,,
87,0.30627,0.93519,,
88,0.28672,0.92531,,
89,0.36434,0.90823,,
90,0.13439,0.95556,,
91,0.12139,0.95445,0.11032,0.72889
92,0.04576,0.98643,,
93,0.09411,0.96344,,
94,0.18222,0.94275,,
95,0.17345,0.95271,,
96,0.15714,0.95484,,
97,0.29321,0.92256,,
98,0.15451,0.947,,
99,0.05811,0.98134,,
100,0.17516,0.94559,,
101,0.20738,0.95495,0.33243,0.68539
102,0.17183,0.95294,,
103,0.24143,0.9466,,
104,0.09826,0.97453,,
105,0.22218,0.93225,,
106,0.16093,0.95214,,
107,0.14221,0.95908,,
108,0.21587,0.95057,,
109,0.39743,0.88779,,
110,0.33937,0.92916,,
111,0.11063,0.96316,0.34989,0.67647
112,0.08951,0.97203,,
113,0.15397,0.9507,,
114,0.26725,0.92276,,
115,0.11833,0.96306,,
116,0.2972,0.91909,,
117,0.1736,0.93978,,
118,0.19647,0.96181,,
119,0.22631,0.93694,,
120,0.37163,0.90596,,
121,0.14278,0.96739,0.44924,0.69478
122,0.07536,0.97959,,
123,0.2606,0.93197,,
124,0.16313,0.96354,,
125,0.05444,0.99074,,
126,0.15244,0.96957,,
127,0.33557,0.91228,,
128,0.32697,0.9152,,
129,0.21498,0.94118,,
130,0.2413,0.9375,,
131,0.23809,0.94753,0.51361,0.67871
132,0.11502,0.97143,,
133,0.06021,0.98639,,
134,0.25824,0.93399,,
135,0.06621,0.97957,,
136,0.02863,0.99254,,
137,0.02922,0.99537,,
138,0.11472,0.9542,,
139,0.09266,0.97127,,
140,0.15058,0.95817,,
141,0.12168,0.96384,0.37286,0.6878
142,0.1614,0.9484,,
143,0.14231,0.96471,,
144,0.03734,0.97902,,
145,0.23324,0.93275,,
146,0.17167,0.95392,,
147,0.21612,0.9455,,
148,0.13834,0.97222,,
149,0.17002,0.95045,,
150,0.20832,0.95614,,
151,0.1329,0.95359,0.50249,0.62846
152,0.09619,0.97101,,
153,0.15126,0.9477,,
154,0.09567,0.96675,,
155,0.09949,0.96537,,
156,0.12823,0.96623,,
