step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
215,0.18882,0.95652,,
216,0.015,1.0,,
217,0.2078,0.95437,,
218,0.06722,0.99408,,
219,0.1438,0.97391,,
220,0.17392,0.97034,,
221,0.07094,0.97204,0.1846,0.73935
222,0.19433,0.95673,,
223,0.13881,0.97727,,
224,0.0209,0.99556,,
225,0.09875,0.98529,,
226,0.00405,1.0,,
227,0.01948,0.99468,,
228,0.06265,0.98762,,
229,0.1883,0.95954,,
230,0.03285,0.99537,,
231,0.00711,1.0,0.1457,0.72821
232,0.14132,0.96198,,
233,0.18733,0.97222,,
234,0.08411,0.97464,,
235,0.23491,0.93623,,
236,0.09256,0.96863,,
237,0.06719,0.98311,,
238,0.17592,0.95833,,
239,0.16716,0.96784,,
240,0.14134,0.9661,,
241,0.02991,0.99689,0.11614,0.70909
242,0.01664,0.99359,,
243,0.08395,0.98225,,
244,0.0414,0.99035,,
245,0.12625,0.97034,,
246,0.22157,0.96117,,
247,0.05315,0.98421,,
248,0.12871,0.97718,,
249,0.05136,0.98065,,
250,0.0237,0.99355,,
251,0.02974,0.98951,0.07411,0.72635
252,0.11138,0.97403,,
253,0.00169,1.0,,
254,0.13906,0.96458,,
255,0.05353,0.98291,,
256,0.06418,0.98601,,
257,0.11997,0.97706,,
258,0.15414,0.96259,,
259,0.08165,0.98507,,
260,0.1007,0.98261,,
261,0.03191,0.9902,0.0992,0.70886
262,0.17224,0.95467,,
263,0.05284,0.98748,,
264,0.00929,0.99653,,
265,0.03879,0.99301,,
266,0.00414,1.0,,
267,0.10387,0.96774,,
268,0.06078,0.97845,,
269,0.1117,0.95935,,
270,0.13022,0.97837,,
271,0.06078,0.9863,0.30563,0.67799
272,0.10311,0.97594,,
273,0.04494,0.98731,,
274,0.04149,0.99111,,
275,0.12068,0.94872,,
276,0.02684,0.99206,,
277,0.06462,0.98635,,
278,0.00599,1.0,,
279,0.06779,0.98824,,
280,0.05546,0.98881,,
281,0.03632,0.99359,0.08788,0.81351
282,0.10491,0.97306,,
283,0.05409,0.98289,,
284,0.04884,0.98188,,
285,0.09968,0.98701,,
286,0.11531,0.97005,,
287,0.11347,0.97826,,
288,0.1198,0.97368,,
289,0.2411,0.91772,,
290,0.05645,0.98976,,
291,0.04247,0.98477,0.08115,0.74174
292,0.11215,0.97642,,
293,0.15234,0.9637,,
294,0.00526,1.0,,
295,0.08955,0.96314,,
296,0.00856,1.0,,
297,0.03725,0.9878,,
298,0.06688,0.97959,,
299,0.03507,0.98661,,
300,0.0106,0.99556,,
301,0.14859,0.94366,0.07442,0.80636
302,0.09131,0.98058,,
303,0.04358,0.99087,,
304,0.02965,0.99408,,
305,0.2361,0.94044,,
306,0.00275,1.0,,
307,0.02106,0.99634,,
308,0.09151,0.96866,,
309,0.0968,0.97353,,
310,0.00158,1.0,,
311,0.0646,0.9771,0.22022,0.65678
312,0.06505,0.97442,,
313,0.00456,1.0,,
314,0.0762,0.97481,,
315,0.06529,0.98305,,
316,0.0343,0.9916,,
317,0.04156,0.98758,,
318,0.00158,1.0,,
319,0.11842,0.96503,,
320,0.0545,0.98507,,
321,0.07517,0.97674,0.1127,0.76179
322,0.00455,1.0,,
323,0.08492,0.97396,,
324,0.05169,0.97778,,
325,0.00111,1.0,,
326,0.06156,0.98772,,
327,0.03539,0.98893,,
328,0.02646,0.99359,,
329,0.00195,1.0,,
330,0.28896,0.94416,,
331,0.08641,0.97189,0.05019,0.74843
332,0.06822,0.98086,,
333,0.15007,0.96732,,
334,0.04464,0.9894,,
335,0.13741,0.96847,,
336,0.03084,0.99302,,
337,0.08839,0.97643,,
338,0.02218,0.99497,,
339,0.10838,0.96624,,
